no; id_pinjam; nik; nama; periode; angsuran; utang; bayar; saldo
2418;80;7657;UCHIHA SASUKE;2024-02;1000000;10000000;1000000;9000000
2419;80;7657;UCHIHA SASUKE;2024-03;1000000;10000000;2000000;8000000
2420;80;7657;UCHIHA SASUKE;2024-04;1000000;10000000;3000000;7000000
2421;80;7657;UCHIHA SASUKE;2024-05;1000000;10000000;4000000;6000000
2422;80;7657;UCHIHA SASUKE;2024-06;1000000;10000000;5000000;5000000
2423;80;7657;UCHIHA SASUKE;2024-07;1000000;10000000;6000000;4000000
2424;80;7657;UCHIHA SASUKE;2024-08;1000000;10000000;7000000;3000000
2425;80;7657;UCHIHA SASUKE;2024-09;1000000;10000000;8000000;2000000
2426;80;7657;UCHIHA SASUKE;2024-10;1000000;10000000;9000000;1000000
2427;80;7657;UCHIHA SASUKE;2024-11;1000000;10000000;10000000;0
2428;81;6177;ROXY MIGURDIA;2024-02;1500000;15000000;1500000;13500000
2429;81;6177;ROXY MIGURDIA;2024-03;1500000;15000000;3000000;12000000
2430;81;6177;ROXY MIGURDIA;2024-04;1500000;15000000;4500000;10500000
2431;81;6177;ROXY MIGURDIA;2024-05;1500000;15000000;6000000;9000000
2432;81;6177;ROXY MIGURDIA;2024-06;1500000;15000000;7500000;7500000
2433;81;6177;ROXY MIGURDIA;2024-07;1500000;15000000;9000000;6000000
2434;81;6177;ROXY MIGURDIA;2024-08;1500000;15000000;10500000;4500000
2435;81;6177;ROXY MIGURDIA;2024-09;1500000;15000000;12000000;3000000
2436;81;6177;ROXY MIGURDIA;2024-10;1500000;15000000;13500000;1500000
2437;81;6177;ROXY MIGURDIA;2024-11;1500000;15000000;15000000;0
2320;82;7728;MIKASA ACKERMAN;2024-05;2000000;20000000;2000000;18000000
2321;82;7728;MIKASA ACKERMAN;2024-06;2000000;20000000;4000000;16000000
2322;82;7728;MIKASA ACKERMAN;2024-07;2000000;20000000;6000000;14000000
2323;82;7728;MIKASA ACKERMAN;2024-08;2000000;20000000;8000000;12000000
2324;82;7728;MIKASA ACKERMAN;2024-09;2000000;20000000;10000000;10000000
2325;82;7728;MIKASA ACKERMAN;2024-10;2000000;20000000;12000000;8000000
2326;82;7728;MIKASA ACKERMAN;2024-11;2000000;20000000;14000000;6000000
2327;82;7728;MIKASA ACKERMAN;2024-12;2000000;20000000;16000000;4000000
2328;82;7728;MIKASA ACKERMAN;2025-01;2000000;20000000;18000000;2000000
2329;82;7728;MIKASA ACKERMAN;2025-02;2000000;20000000;20000000;0
2330;83;7591;RUDEUS GREYRAT;2024-05;600000;10000000;600000;9400000
2331;83;7591;RUDEUS GREYRAT;2024-06;600000;10000000;1200000;8800000
2332;83;7591;RUDEUS GREYRAT;2024-07;600000;10000000;1800000;8200000
2333;83;7591;RUDEUS GREYRAT;2024-08;600000;10000000;2400000;7600000
2334;83;7591;RUDEUS GREYRAT;2024-09;600000;10000000;3000000;7000000
2335;83;7591;RUDEUS GREYRAT;2024-10;600000;10000000;3600000;6400000
2336;83;7591;RUDEUS GREYRAT;2024-11;600000;10000000;4200000;5800000
2337;83;7591;RUDEUS GREYRAT;2024-12;600000;10000000;4800000;5200000
2338;83;7591;RUDEUS GREYRAT;2025-01;600000;10000000;5400000;4600000
2339;83;7591;RUDEUS GREYRAT;2025-02;600000;10000000;6000000;4000000
2340;83;7591;RUDEUS GREYRAT;2025-03;600000;10000000;6600000;3400000
2341;83;7591;RUDEUS GREYRAT;2025-04;600000;10000000;7200000;2800000
2342;83;7591;RUDEUS GREYRAT;2025-05;600000;10000000;7800000;2200000
2343;83;7591;RUDEUS GREYRAT;2025-06;600000;10000000;8400000;1600000
2344;83;7591;RUDEUS GREYRAT;2025-07;600000;10000000;9000000;1000000
