no; id_pinjam; nik; nama; periode; angsuran; utang; bayar; saldo
2424;80;7657;UCHIHA SASUKE;2024-08;1000000;10000000;7000000;3000000
2434;81;6177;ROXY MIGURDIA;2024-08;1500000;15000000;10500000;4500000
2323;82;7728;MIKASA ACKERMAN;2024-08;2000000;20000000;8000000;12000000
2333;83;7591;RUDEUS GREYRAT;2024-08;600000;10000000;2400000;7600000
2407;84;7657;UCHIHA SASUKE;2024-08;500000;7000000;2000000;5000000
2282;85;7422;EREN YEAGER;2024-08;5000000;40000000;15000000;25000000
2378;86;7798;ERIS BOREAS GREYRAT;2024-08;2500000;25000000;7500000;17500000
2389;87;7779;CONAN EDOGAWA;2024-08;970000;5814195;3880000;1934195
2349;88;6184;HISTORIA REISS;2024-08;1250000;15000000;3750000;11250000
2308;89;7663;ERWIN SMITH;2024-08;1250000;15000000;1250000;13750000
2290;90;7333;ARMIN ARLERT;2024-08;500000;10000000;1500000;8500000
2393;91;7106;UZUMAKI NARUTO;2024-08;500000;6000000;1000000;5000000
2359;95;9039;LEVI ACKERMAN;2024-08;3000000;50000000;3000000;47000000
